	Subject	X молния ударить	X ударить молния	молния X ударить	молния ударить X	ударить X молния	ударить молния X	Arg1_anim	Verb_fin	Obj	Has_arg2	Direct_meaning	Fact
Subject	1.0	-0.2555	-0.02	-0.2636	0.3002	-0.0378	0.0327	-0.324	-0.0573	-0.5193	0.0521	0.4486	0.2953
X молния ударить	-0.2555	1.0	-0.1508	-0.0765	-0.2159	-0.0561	-0.0215	0.1864	0.0708	0.252	-0.0342	-0.3637	-0.1997
X ударить молния	-0.02	-0.1508	1.0	-0.2244	-0.6333	-0.1647	-0.063	0.2834	0.2077	0.0366	-0.1003	0.0723	0.0328
молния X ударить	-0.2636	-0.0765	-0.2244	1.0	-0.3213	-0.0836	-0.032	0.1339	0.0538	0.1665	-0.0509	-0.2039	-0.2082
молния ударить X	0.3002	-0.2159	-0.6333	-0.3213	1.0	-0.2358	-0.0902	-0.3294	-0.1404	-0.1778	0.1583	0.2036	0.125
ударить X молния	-0.0378	-0.0561	-0.1647	-0.0836	-0.2358	1.0	-0.0235	-0.1692	-0.2573	-0.1221	-0.0373	0.0104	0.1004
ударить молния X	0.0327	-0.0215	-0.063	-0.032	-0.0902	-0.0235	1.0	-0.0795	0.0296	-0.0467	-0.0143	0.0296	0.0552
Arg1_anim	-0.324	0.1864	0.2834	0.1339	-0.3294	-0.1692	-0.0795	1.0	0.1987	0.5646	0.1796	-0.3404	-0.4242
Verb_fin	-0.0573	0.0708	0.2077	0.0538	-0.1404	-0.2573	0.0296	0.1987	1.0	0.1146	-0.0589	-0.0976	-0.1819
Obj	-0.5193	0.252	0.0366	0.1665	-0.1778	-0.1221	-0.0467	0.5646	0.1146	1.0	0.3058	-0.3973	-0.2796
Has_arg2	0.0521	-0.0342	-0.1003	-0.0509	0.1583	-0.0373	-0.0143	0.1796	-0.0589	0.3058	1.0	-0.0589	0.0185
Direct_meaning	0.4486	-0.3637	0.0723	-0.2039	0.2036	0.0104	0.0296	-0.3404	-0.0976	-0.3973	-0.0589	1.0	0.5362
Fact	0.2953	-0.1997	0.0328	-0.2082	0.125	0.1004	0.0552	-0.4242	-0.1819	-0.2796	0.0185	0.5362	1.0
